0,34.805,31.265,2.5,-0.15028,-0.07619,0.012783,-0.10932,-0.4034,1.7279,-0.1148,-0.4031
0.1,34.805,31.265,2.5,0.0083437,-0.037033,-0.033759,-0.10925,-0.405,1.7279,-0.11699,-0.40044
0.2,34.805,31.265,2.5,0.0083437,-0.037033,-0.033759,-0.10922,-0.40548,1.7279,-0.1144,-0.39918
0.3,34.805,31.265,2.5,-0.065522,-0.00050521,0.13676,-0.10811,-0.40474,1.7279,-0.11096,-0.3987
0.4,34.805,31.265,2.5,-0.065522,-0.00050521,0.13676,-0.10778,-0.40452,1.7453,-0.11194,-0.40336
0.5,34.805,31.265,2.5,-0.065522,-0.00050521,0.13676,-0.10768,-0.40446,1.7453,-0.11518,-0.39711
0.6,34.805,31.265,2.5,-0.065522,-0.00050521,0.13676,-0.10765,-0.40444,1.7453,-0.11518,-0.39711
0.7,34.805,31.265,2.5,-0.77751,0.36154,1.4214,-0.099121,-0.39331,1.6755,-0.081481,-0.3681
0.8,34.805,31.265,2.5,-0.77751,0.36154,1.4214,-0.096563,-0.38997,1.6406,-0.04289,-0.37139
0.9,34.805,31.265,2.5,1.0193,-1.0041,-1.0743,-0.066306,-0.38655,1.6232,-0.027489,-0.38419
1,34.805,31.265,2.5,1.0193,-1.0041,-1.0743,-0.057229,-0.38552,1.5533,-0.041075,-0.35193
1.1,34.805,31.265,2.5,1.5266,-0.045045,-1.134,-0.036864,-0.36745,1.4137,-0.044785,-0.33158
1.2,34.805,31.265,2.5,1.5266,-0.045045,-1.134,-0.030754,-0.36203,1.4137,-0.051017,-0.34313
1.3,34.805,31.265,2.5,-0.85281,0.17648,-0.43129,-0.051611,-0.3456,1.4312,-0.064365,-0.36332
1.4,34.805,31.265,2.5,-0.85281,0.17648,-0.43129,-0.057869,-0.34067,1.4835,-0.05541,-0.334
1.5,34.805,31.265,2.5,0.83142,-0.86702,0.11432,-0.050598,-0.32623,1.5359,-0.063592,-0.30485
1.6,34.805,31.265,2.5,0.83142,-0.86702,0.11432,-0.048417,-0.3219,1.5882,-0.082448,-0.30139
1.7,34.805,31.265,2.5,1.1238,-0.41288,-0.46518,-0.069234,-0.29037,1.6755,-0.10606,-0.31091
1.8,34.805,31.265,2.5,1.1238,-0.41288,-0.46518,-0.075479,-0.28091,1.7279,-0.12383,-0.32417
1.9,34.805,31.265,2.5,-0.85377,0.67822,-0.39728,-0.10076,-0.2897,1.7802,-0.12437,-0.31707
2,34.805,31.265,2.5,-0.85377,0.67822,-0.39728,-0.10834,-0.29234,1.8151,-0.11438,-0.30293
2.1,34.805,31.265,2.5,0.32616,0.67528,-0.176,-0.10681,-0.29593,1.8326,-0.095129,-0.28932
2.2,34.805,31.265,2.5,0.32616,0.67528,-0.176,-0.10635,-0.29701,1.8326,-0.071022,-0.27077
